5728,WORD_ORGANIZATION_NAME,,HIRAGANA_KATAKANA,,,-,アムネスティ・インターナショナル,,amunesutiintaanashonaru,Amnesty International,GOTOWE,,
5727,WORD_ORGANIZATION_NAME,,HIRAGANA_KATAKANA,,,-,アムネスティインターナショナル,,amunesutiintaanashonaru,Amnesty International,GOTOWE,,
6569,WORD_ORGANIZATION_NAME,,HIRAGANA_KATAKANA,,,-,アル・カーイダ,,arukaaida,Al-Ka’ida,GOTOWE,,
6568,WORD_ORGANIZATION_NAME,,HIRAGANA_KATAKANA,,,-,アル・カイーダ,,arukaiida,Al-Ka’ida,GOTOWE,,
6567,WORD_ORGANIZATION_NAME,,HIRAGANA_KATAKANA,,,-,アル・カイダ,,arukaida,Al-Ka’ida,GOTOWE,,
6154,WORD_ORGANIZATION_NAME,,HIRAGANA_KATAKANA,,,-,アルコホーリクス・アノニマス,,arukohoorikusuanonimasu,Anonimowi Alkoholicy,GOTOWE,,
6153,WORD_ORGANIZATION_NAME,,HIRAGANA_KATAKANA,,,-,アルコホーリクスアノニマス,,arukohoorikusuanonimasu,Anonimowi Alkoholicy,GOTOWE,,
6899,WORD_ORGANIZATION_NAME,,HIRAGANA_KATAKANA,,,-,アンタック,,antakku,UNTAC,GOTOWE,,
6903,WORD_ORGANIZATION_NAME,,HIRAGANA_KATAKANA,,,-,アンタラ,,antara,Antara (Indonesian press agency),,,
8617,WORD_ORGANIZATION_NAME,,HIRAGANA_KATAKANA,,,-,インディアンス,,indiansu,Cleveland Indians (drużyna baseballowa),GOTOWE,,
10887,WORD_ORGANIZATION_NAME,,HIRAGANA_KATAKANA,,,-,ウンマ,,unma,Ummah,GOTOWE,,
12825,WORD_ORGANIZATION_NAME,,HIRAGANA_KATAKANA,,,-,エーアイアイ,,eeaiai,AII,GOTOWE,,
11322,WORD_ORGANIZATION_NAME,,HIRAGANA_KATAKANA,,,-,エスエスアイ,,esuesuai,SSI,GOTOWE,,
13781,WORD_ORGANIZATION_NAME,,HIRAGANA_KATAKANA,,,-,オリックスバファローズ,,orikkusubafaroozu,Orix Buffaloes (Japanese pro baseball team),,,
18701,WORD_ORGANIZATION_NAME,,HIRAGANA_KATAKANA,,,-,キワニスクラブ,,kiwanisukurabu,Kiwanis Club,GOTOWE,,
20288,WORD_ORGANIZATION_NAME,,HIRAGANA_KATAKANA,,,-,クリスチャンサイエンスモニター,,kurisuchansaiensumonitaa,Christian Science Monitor,GOTOWE,,
25482,WORD_ORGANIZATION_NAME,,HIRAGANA_KATAKANA,,,-,コーミッシェオーパー,,koomissheoopaa,Komische Oper (Berlin),,,
25810,WORD_ORGANIZATION_NAME,,HIRAGANA_KATAKANA,,,-,ゴルカル,,gorukaru,Golkar (former Indonesian political group),,,
26197,WORD_ORGANIZATION_NAME,,HIRAGANA_KATAKANA,,,-,サイモンとガーファンクル,,saimontogaafankuru,Simon & Garfunkel,GOTOWE,,
31263,WORD_ORGANIZATION_NAME,,HIRAGANA_KATAKANA,,,-,シーシェパード,,shiishepaado,Sea Shepherd (marine conservation organization),,,
28301,WORD_ORGANIZATION_NAME,,HIRAGANA_KATAKANA,,,-,シアトー,,shiatoo,SEATO (Southeast Asia Treaty Organization),,,
31969,WORD_ORGANIZATION_NAME,,HIRAGANA_KATAKANA,,,-,ジャイアンツ,,jaiantsu,Giants (baseball team),,,
