x,WORD_NOUN,,KATAKANA,,,-,セカンダリキャッシュ,,sekandari kyasshu,pomocnicza pamięć podręczna,"informatyka, ang: secondary cache",,,"GroupId: 2304930
Translate: secondary cache"
x,WORD_NOUN,,KATAKANA,,,-,グラスコート,,gurasu kooto,kort trawiasty,"do gry w tenisa, ang: grass court",,,"GroupId: 1046450
Translate: grass court"
x,WORD_NOUN,,KATAKANA,,,-,チームゲーム,,chiimu geemu,gra zespołowa,ang: team game,,,"GroupId: 2498670
Translate: team game"
x,WORD_NOUN,,KATAKANA,,,-,ソーラーコレクター,,sooraa korekutaa,kolektor słoneczny,ang: solar collector,,,"GroupId: 2185200
Translate: solar collector"
x,WORD_NOUN,,KATAKANA,,,-,ゴールデンライオンタマリン,,gooruden raion tamarin,marmozeta lwia,"gatunek południowoamerykańskiej małpy szerokonosej, leontopithecus rosalia, ang: golden lion tamarin",,,"GroupId: 2203800
Translate: golden lion tamarin (Leontopithecus rosalia)"
x,WORD_NOUN,,KATAKANA,,,-,ブラインドサイド,,buraindo saido,???,ang: blind side,,,"GroupId: 1113580
Translate: blind side"
x,WORD_NOUN,,KATAKANA,,,-,システムフォローアップ,,shisutemu foroo appu,"przegląd systemu po implementacji
przegląd systemu po fazie wdrożenia","informatyka, ang: system follow-up",,,"GroupId: 2300710
Translate: system follow-up
Translate: post-implementation review
Translate: post-development review"
x,WORD_NOUN,,KATAKANA,,,-,スクリーンプレー,,sukuriin puree,scenariusz,ang: screen play,,,"GroupId: 1068570
Translate: screen play"
x,WORD_NOUN,,KATAKANA,,,-,ダークステージ,,daaku suteeji,ciemna scena,ang: dark stage,,,"GroupId: 2482590
Translate: dark stage"
x,WORD_NOUN,,KATAKANA,,,-,ドレンチェリー,,doren cherii,???,ang: drained cherry,,,"GroupId: 2763490
Translate: drained maraschino cherry"
22762,WORD_NOUN,,KATAKANA,,,-,ロールシャッハテスト,,roorushahha tesuto,"_
-----------
-----------
Rorschach test
Rorschach inkblot test",,,,"GroupId: 1146950
Translate: Rorschach test
Translate: Rorschach inkblot test"
22982,WORD_NOUN,,KATAKANA,,,-,ハンマービームトラス,,hanmaabiimutorasu,"_
-----------
-----------
hammer beam truss",ang: hammer beam truss,,,"GroupId: 2469450
Translate: hammer beam truss"
23882,WORD_NOUN,,KATAKANA,,,-,フォースプレー,,foosupuree,"_
-----------
-----------
force play",ang: force play,,,"GroupId: 2485280
Translate: force play"
24175,WORD_NOUN,,KATAKANA,,,-,ランニングヘッド,,ranninguheddo,"_
-----------
-----------
running head",ang: running head,,,"GroupId: 2336620
Translate: running head"
24303,WORD_NOUN,,KATAKANA,,,-,ホワイトリスト,,howaitorisuto,"_
-----------
-----------
white list",ang: white list,,,"GroupId: 2597500
Translate: white list"
