300001,WORD_NOUN,,HIRAGANA,,,横断検索,おうだんけんさく,,oudan kensaku,"wyszukiwanie krzyżowe
przeszukiwanie wielu baz danych jednocześnie",informatyka,DICTIONARY2_SOURCE,,GroupId: 2860872
300002,WORD_NOUN,,HIRAGANA,,,再帰的頭字語,さいきてきとうじご,,saikiteki toujigo,akronim rekurencyjny,,DICTIONARY2_SOURCE,,GroupId: 2860874
300003,WORD_NOUN,,KATAKANA,,,-,ストリートピアノ,,sutoriito piano,pianino uliczne,ang: street piano,DICTIONARY2_SOURCE,,GroupId: 2860877
300004,WORD_NOUN,,KATAKANA,,,-,ストリート・ピアノ,,sutoriito piano,pianino uliczne,ang: street piano,DICTIONARY2_SOURCE,,GroupId: 2860877
300005,WORD_NOUN,,KATAKANA,,,-,マルチコプター,,maruchikoputaa,"multikopter
wielowirnikowiec",ang: multicopter,DICTIONARY2_SOURCE,,GroupId: 2860878
300006,WORD_NOUN,,KATAKANA,,,-,ゴーストタッチ,,goosuto tacchi,dotyk ducha,informatyka; ang: ghost touch,DICTIONARY2_SOURCE,,GroupId: 2860881
300007,WORD_NOUN,,KATAKANA,,,-,ゴースト・タッチ,,goosuto tacchi,dotyk ducha,informatyka; ang: ghost touch,DICTIONARY2_SOURCE,,GroupId: 2860881
300008,WORD_NOUN,,KATAKANA,,,-,ミサンドリー,,misandorii,"mizandria
mizoandria","wstręt kobiet w stosunku do mężczyzn, ang: misandry",DICTIONARY2_SOURCE,,GroupId: 2860882
300009,WORD_NOUN,,KATAKANA,,,-,スクリプトキディ,,sukuriputo kidi,script kiddie,"żargonie komputerowym – niedoświadczony cracker, który używa programów i skryptów napisanych przez innych bez znajomości zasad ich działania, po to jedynie, aby uzyskać nieuprawniony dostęp do komputerowych kont użytkowników, plików lub żeby przeprowadzać ataki na systemy komputerowe",DICTIONARY2_SOURCE,,GroupId: 2860883
300010,WORD_NOUN,,KATAKANA,,,-,スクリプト・キディ,,sukuriputo kidi,script kiddie,"żargonie komputerowym – niedoświadczony cracker, który używa programów i skryptów napisanych przez innych bez znajomości zasad ich działania, po to jedynie, aby uzyskać nieuprawniony dostęp do komputerowych kont użytkowników, plików lub żeby przeprowadzać ataki na systemy komputerowe",DICTIONARY2_SOURCE,,GroupId: 2860883
300011,WORD_NOUN,,KATAKANA,,,-,スクリプトキディー,,sukuriputo kidii,script kiddie,"żargonie komputerowym – niedoświadczony cracker, który używa programów i skryptów napisanych przez innych bez znajomości zasad ich działania, po to jedynie, aby uzyskać nieuprawniony dostęp do komputerowych kont użytkowników, plików lub żeby przeprowadzać ataki na systemy komputerowe",DICTIONARY2_SOURCE,,GroupId: 2860883
300012,WORD_NOUN,,KATAKANA,,,-,オーディオコメンタリー,,oodio komentarii,komentarz audio,np. na płycie DVD,DICTIONARY2_SOURCE,,GroupId: 2860886
300013,WORD_NOUN,,KATAKANA,,,-,オーディオ・コメンタリー,,oodio komentarii,komentarz audio,np. na płycie DVD,DICTIONARY2_SOURCE,,GroupId: 2860886
300014,WORD_NOUN,,KATAKANA,,,-,オーディオコメンタリ,,oodio komentari,komentarz audio,np. na płycie DVD,DICTIONARY2_SOURCE,,GroupId: 2860886
300015,WORD_NOUN,,KATAKANA_HIRAGANA,,,ストライサンド効果,ストライサンドこうか,,sutoraisando kouka,efekt Streisand,niezamierzone zwiększenie publicznej świadomości informacji w wyniku próby ich stłumienia,DICTIONARY2_SOURCE,,GroupId: 2860887
300016,WORD_NOUN,,HIRAGANA,,,磁気量子数,じきりょうしすう,,jiki ryoushisuu,magnetyczna liczba kwantowa,fizyka,DICTIONARY2_SOURCE,,GroupId: 2860888
300017,WORD_NOUN,,HIRAGANA,,,副王,ふくおう,,fukuou,wicekról,ang: vice-king,DICTIONARY2_SOURCE,,GroupId: 2860892
300018,WORD_NOUN,,HIRAGANA,,,飛行雲,ひこうぐも,,hikougumo,smuga kondensacyjna,"chmury typu cirrus w postaci długich linii, powstająca najczęściej za samolotem odrzutowym lecącym w górnej troposferze i dolnej stratosferze, zazwyczaj na wysokości między 8 a 15 km nad ziemią",DICTIONARY2_SOURCE,,GroupId: 2860894
300019,WORD_NOUN,,KATAKANA,,,-,マーシャル,,maasharu,marshal,motorsport,DICTIONARY2_SOURCE,DUPLICATE 300024,GroupId: 2860895
300020,WORD_NOUN,,KATAKANA_HIRAGANA,,,メタ検索エンジン,メタけんさくエンジン,,meta kensaku enjin,"meta-wyszukiwarka
agregator wyszukiwania",internet,DICTIONARY2_SOURCE,,GroupId: 2860897
