1,1,
2,,
3,,
4,1,
5,,
6,,
7,1,
8,,
9,1,
10,1,
11,,
12,,
13,,
14,,
15,,
16,,
17,1,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,1,
26,,
27,,
28,,
29,,
30,1,
31,,
32,,
33,,
34,,
35,1,
36,,
37,,
38,,
39,,
40,,
41,1,
42,,
43,,
44,,
45,,
46,1,
47,,
48,,
49,,
50,,
51,,
52,1,
53,,
54,1,
55,,
56,,
57,,
58,,
59,,
60,1,
61,,
62,,
63,,
64,,
65,1,
66,,
67,1,
68,1,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,1,
81,1,
82,,
83,,
84,,
85,,
86,,
87,1,
88,,
89,,
90,,
91,,
92,,
93,1,
94,1,
95,,
96,,
97,1,
98,1,
99,,
100,1,
101,1,
102,1,
103,1,
104,1,
105,,
106,,
107,,
108,,
109,1,
110,,
111,,
112,1,
113,,
114,1,
115,,
116,,
117,,
118,,
119,,
120,,
121,1,
122,,
123,,
124,,
125,1,
126,,
127,,
128,,
129,,
130,,
131,,
132,,
133,,
134,1,
135,,
136,,
137,,
138,,
139,,
140,,
141,,
142,,
143,,
144,1,
145,,
146,,
147,,
148,,
149,1,
150,,
151,,
152,,
153,1,
154,,
155,,
156,,
157,,
158,,
159,,
160,,
161,1,
162,,
163,,
164,,
165,,
166,,
167,,
168,,
169,1,
170,,
171,,
172,,
173,,
174,,
175,1,
176,,
177,,
178,,
179,1,
180,,
181,,
182,1,
183,,
184,,
185,1,
186,,
187,,
188,,
189,1,
190,1,
191,,
192,,
193,,
194,,
195,1,
196,,
197,,
198,,
199,,
200,,
201,1,
202,1,
203,,
204,,
205,1,
206,1,
207,,
208,1,
209,,
210,1,
211,,
212,,
213,,
214,,
215,1,
216,,
217,,
218,1,
219,1,
220,,
221,,
222,,
223,,
224,,
225,,
226,,
227,1,
228,,
229,,
230,,
231,,
232,,
233,,
234,1,
235,,
236,1,
237,,
238,1,
239,1,
240,,
241,1,
242,1,
243,,
244,,
245,,
246,,
247,1,
248,,
249,,
250,1,
251,1,
252,1,
253,,
254,,
255,,
256,1,
257,,
258,,
259,,
260,,
261,,
262,,
263,,
264,,
265,,
266,1,
267,,
268,,
269,,
270,,
271,,
272,,
273,,
274,,
275,1,
276,,
277,,
278,,
279,1,
280,,
281,,
282,,
283,1,
284,1,
285,1,
286,,
287,,
288,,
289,,
290,1,
291,1,
292,,
293,,
294,,
295,,
296,,
297,1,
298,,
299,,
300,1,
301,,
302,1,
303,1,
304,,
305,,
306,,
307,,
308,,
309,,
310,1,
311,,
312,1,
313,,
314,1,
315,,
316,,
317,,
318,1,
319,1,
320,,
321,1,
322,,
323,,
324,1,
325,,
326,1,
327,,
328,1,
329,1,
330,,
331,,
332,,
333,,
334,,
335,1,
336,1,
337,,
338,,
339,,
340,,
341,1,
342,,
343,,
344,,
345,,
346,1,
347,1,
348,,
349,,
350,,
351,,
352,,
353,1,
354,,
355,,
356,,
357,,
358,1,
359,,
360,1,
361,,
362,1,
363,1,
364,,
365,,
366,1,
367,1,
368,1,
369,1,
370,,
371,1,
372,,
373,,
374,,
375,,
376,1,
377,1,
378,,
379,1,
380,,
381,1,
382,1,
383,,
384,1,
385,,
386,1,
387,,
388,,
389,,
390,,
391,,
392,,
393,,
