2011,WORD_PLACE,,HIRAGANA_KATAKANA,,,-,あいはら,,aihara,Aihara,,,
17902,WORD_PLACE,,HIRAGANA_KATAKANA,,,-,あさひ,,asahi,Asahi,,,
21463,WORD_PLACE,,HIRAGANA_KATAKANA,,,-,あずら,,azura,Azura,,,
22036,WORD_PLACE,,HIRAGANA_KATAKANA,,,-,あたご,,atago,Atago,,,
22433,WORD_PLACE,,HIRAGANA_KATAKANA,,,-,あちばけダム,,achibakedamu,Achibake dam,,,
25327,WORD_PLACE,,HIRAGANA_KATAKANA,,,-,あにマタギ,,animatagi,Animatagi,,,
36361,WORD_PLACE,,HIRAGANA_KATAKANA,,,-,あるかぽーと,,arukapooto,Arukapo-to,,,
44078,WORD_PLACE,,HIRAGANA_KATAKANA,,,-,いこい,,ikoi,Ikoi,,,
46139,WORD_PLACE,,HIRAGANA_KATAKANA,,,-,いしうちダム,,ishiuchidamu,Ishiuchi dam,,,
49604,WORD_PLACE,,HIRAGANA_KATAKANA,,,-,いずみホール,,izumihooru,Izumi Hall (Osaka),,,
50013,WORD_PLACE,,HIRAGANA_KATAKANA,,,-,いせの,,iseno,Iseno,,,
50122,WORD_PLACE,,HIRAGANA_KATAKANA,,,-,いせトピア,,isetopia,Isetopia,,,
51335,WORD_PLACE,,HIRAGANA_KATAKANA,,,-,いたばしほんちょう,,itabashihonchou,Itabashimanchou,,,
52238,WORD_PLACE,,HIRAGANA_KATAKANA,,,-,いちきしり,,ichikishiri,Ichikishiri,,,
53853,WORD_PLACE,,HIRAGANA_KATAKANA,,,-,いちみなみ,,ichiminami,Ichiminami,,,
58267,WORD_PLACE,,HIRAGANA_KATAKANA,,,-,いなせランド,,inaserando,Inaserando,,,
58654,WORD_PLACE,,HIRAGANA_KATAKANA,,,-,いなほ,,inaho,Inaho,,,
61357,WORD_PLACE,,HIRAGANA_KATAKANA,,,-,いぶた,,ibuta,Ibuta,,,
72691,WORD_PLACE,,HIRAGANA_KATAKANA,,,-,うずしおライン,,uzushiorain,Uzushiorain,,,
77726,WORD_PLACE,,HIRAGANA_KATAKANA,,,-,うむ,,umu,Umu,,,
80006,WORD_PLACE,,HIRAGANA_KATAKANA,,,-,うれしのトンネル,,ureshinotonneru,Ureshino tunnel,,,
86272,WORD_PLACE,,HIRAGANA_KATAKANA,,,-,えびの,,ebino,Ebino,,,
88682,WORD_PLACE,,HIRAGANA_KATAKANA,,,-,えりも,,erimo,Erimo,,,
91642,WORD_PLACE,,HIRAGANA_KATAKANA,,,-,おうみ,,oumi,Oumi,,,
93358,WORD_PLACE,,HIRAGANA_KATAKANA,,,-,おおかわダムこうえん,,ookawadamukouen,Ookawa Dam Park,,,
113413,WORD_PLACE,,HIRAGANA_KATAKANA,,,-,おびし,,obishi,Obishi,,,
113920,WORD_PLACE,,HIRAGANA_KATAKANA,,,-,おみおしトンネル,,omioshitonneru,Omioshi tunnel,,,
114230,WORD_PLACE,,HIRAGANA_KATAKANA,,,-,おもちゃのまち,,omochanomachi,Omochanomachi,,,
119497,WORD_PLACE,,HIRAGANA_KATAKANA,,,-,かかみはらひこうじょう,,kakamiharahikoujou,Kakamigahara Airport,,,
121936,WORD_PLACE,,HIRAGANA_KATAKANA,,,-,かぐらゴンドラ,,kaguragondora,Kagura gondola,,,
143114,WORD_PLACE,,HIRAGANA_KATAKANA,,,-,かみおかトンネル,,kamiokatonneru,Kamioka tunnel,,,
157251,WORD_PLACE,,HIRAGANA_KATAKANA,,,-,かんかけいさんちょう,,kankakeisanchou,Kankakeisanchou,,,
161768,WORD_PLACE,,HIRAGANA_KATAKANA,,,-,きえき,,kieki,Kieki,,,
167696,WORD_PLACE,,HIRAGANA_KATAKANA,,,-,きたさんじよう,,kitasanjiyou,Kitasanjou,,,
171907,WORD_PLACE,,HIRAGANA_KATAKANA,,,-,きぬがさ,,kinugasa,Kinugasa,,,
193442,WORD_PLACE,,HIRAGANA_KATAKANA,,,-,くまだか,,kumadaka,Kumadaka,,,
198653,WORD_PLACE,,HIRAGANA_KATAKANA,,,-,くろばねスプリングス,,kurobanesupuringusu,Kurobane Springs,,,
200430,WORD_PLACE,,HIRAGANA_KATAKANA,,,-,けいおうよみうりランド,,keiouyomiurirando,Keiouyomiurirando,,,
219822,WORD_PLACE,,HIRAGANA_KATAKANA,,,-,こがゴルフじょうまえ,,kogagorufujoumae,Koga golf links (front),,,
228600,WORD_PLACE,,HIRAGANA_KATAKANA,,,-,こまどり,,komadori,Komadori,,,
234851,WORD_PLACE,,HIRAGANA_KATAKANA,,,-,ごりんゴンドラ,,goringondora,Gorin gondola,,,
246211,WORD_PLACE,,HIRAGANA_KATAKANA,,,-,さざなみスカイライン,,sazanamisukairain,Sazanami Skyline,,,
253029,WORD_PLACE,,HIRAGANA_KATAKANA,,,-,さみずトンネル,,samizutonneru,Samizu tunnel,,,
256667,WORD_PLACE,,HIRAGANA_KATAKANA,,,-,さわんちさっぷ,,sawanchisappu,Sawanchisappu,,,
257803,WORD_PLACE,,HIRAGANA_KATAKANA,,,-,さんちよう,,sanchiyou,Sanchou,,,
258890,WORD_PLACE,,HIRAGANA_KATAKANA,,,-,ざおうさんちょう,,zaousanchou,Zaousanchou,,,
267458,WORD_PLACE,,HIRAGANA_KATAKANA,,,-,しだれガキ,,shidaregaki,Shidaregaki,,,
308135,WORD_PLACE,,HIRAGANA_KATAKANA,,,-,すさみ,,susami,Susami,,,
308720,WORD_PLACE,,HIRAGANA_KATAKANA,,,-,すずかけ,,suzukake,Suzukake,,,
319781,WORD_PLACE,,HIRAGANA_KATAKANA,,,-,せせらぎのまち,,seseraginomachi,Seseraginomachi,,,
321877,WORD_PLACE,,HIRAGANA_KATAKANA,,,-,せんい,,sen'i,Sen'i,,,
355401,WORD_PLACE,,HIRAGANA_KATAKANA,,,-,たのせ,,tanose,Tanose,,,
374023,WORD_PLACE,,HIRAGANA_KATAKANA,,,-,つくも,,tsukumo,Tsukumo,,,
385632,WORD_PLACE,,HIRAGANA_KATAKANA,,,-,てんのうずアイル,,tennouzuairu,Tennouzu isle,,,
399539,WORD_PLACE,,HIRAGANA_KATAKANA,,,-,とびたけ,,tobitake,Tobitake,,,
419027,WORD_PLACE,,HIRAGANA_KATAKANA,,,-,ながしまダム,,nagashimadamu,Nagashima dam,,,
426486,WORD_PLACE,,HIRAGANA_KATAKANA,,,-,なめがわアイランド,,namegawaairando,Namegawa island,,,
428736,WORD_PLACE,,HIRAGANA_KATAKANA,,,-,なろお,,naroo,Naroo,,,
438438,WORD_PLACE,,HIRAGANA_KATAKANA,,,-,にっか,,nikka,Nikka,,,
441000,WORD_PLACE,,HIRAGANA_KATAKANA,,,-,ぬくしなバイパス,,nukushinabaipasu,Nukushina byepass,,,
446149,WORD_PLACE,,HIRAGANA_KATAKANA,,,-,のばりぐち,,nobariguchi,Nobariguchi,,,
