3,WORD_FEMALE_NAME,,HIRAGANA_KATAKANA,,,-,ああ,,aa,Aa,,,
17,WORD_FEMALE_NAME,,HIRAGANA_KATAKANA,,,-,ああさ,,aasa,Aasa,,,
35,WORD_FEMALE_NAME,,HIRAGANA_KATAKANA,,,-,あい,,ai,Ai,,,
239,WORD_FEMALE_NAME,,HIRAGANA_KATAKANA,,,-,あいえ,,aie,Aie,,,
305,WORD_FEMALE_NAME,,HIRAGANA_KATAKANA,,,-,あいか,,aika,Aika,,,
595,WORD_FEMALE_NAME,,HIRAGANA_KATAKANA,,,-,あいき,,aiki,Aiki,,,
695,WORD_FEMALE_NAME,,HIRAGANA_KATAKANA,,,-,あいこ,,aiko,Aiko,,,
1083,WORD_FEMALE_NAME,,HIRAGANA_KATAKANA,,,-,あいしゃ,,aisha,Aisha,,,
1198,WORD_FEMALE_NAME,,HIRAGANA_KATAKANA,,,-,あいす,,aisu,Aisu,,,
1442,WORD_FEMALE_NAME,,HIRAGANA_KATAKANA,,,-,あいち,,aichi,Aichi,,,
1633,WORD_FEMALE_NAME,,HIRAGANA_KATAKANA,,,-,あいと,,aito,Aito,,,
1681,WORD_FEMALE_NAME,,HIRAGANA_KATAKANA,,,-,あいな,,aina,Aina,,,
1776,WORD_FEMALE_NAME,,HIRAGANA_KATAKANA,,,-,あいね,,aine,Aine,,,
1792,WORD_FEMALE_NAME,,HIRAGANA_KATAKANA,,,-,あいの,,aino,Aino,,,
2202,WORD_FEMALE_NAME,,HIRAGANA_KATAKANA,,,-,あいみ,,aimi,Aimi,,,
2411,WORD_FEMALE_NAME,,HIRAGANA_KATAKANA,,,-,あいら,,aira,Aira,,,
2490,WORD_FEMALE_NAME,,HIRAGANA_KATAKANA,,,-,あいり,,airi,Airi,,,
2649,WORD_FEMALE_NAME,,HIRAGANA_KATAKANA,,,-,あいりん,,airin,Airin,,,
2672,WORD_FEMALE_NAME,,HIRAGANA_KATAKANA,,,-,あいる,,airu,Airu,,,
2724,WORD_FEMALE_NAME,,HIRAGANA_KATAKANA,,,-,あいん,,ain,Ain,,,
2729,WORD_FEMALE_NAME,,HIRAGANA_KATAKANA,,,-,あう,,au,Au,,,
2747,WORD_FEMALE_NAME,,HIRAGANA_KATAKANA,,,-,あうり,,auri,Auri,,,
