BEGIN,1380410,,,,,,,,,
KANJI,1380410,聖母,,"news2
nf28
spec2",,,,,,
READING,1380410,HIRAGANA,せいぼ,seibo,-,,,"news2
nf28
spec2",,
SENSE_COMMON,1380410,,,noun (common) (futsuumeishi),,,,,,
SENSE_ENG,1380410,mother of a holy person,,,,,,,,
SENSE_POL,1380410,matka świętej osoby,,,,,,,,
SENSE_COMMON,1380410,,,noun (common) (futsuumeishi),,,Christianity,,,
SENSE_ENG,1380410,"Holy Mother
Virgin Mary
Our Lady",,,,,,,,
SENSE_POL,1380410,"Matka Boska
Dziewica Maryja",,,,,,,,
END,1380410,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BEGIN,1019420,,,,,,,,,
READING,1019420,KATAKANA,アルバイト,arubaito,-,,,"gai1
ichi1",,
SENSE_COMMON,1019420,,,"noun (common) (futsuumeishi)
noun or participle which takes the aux. verb suru
intransitive verb",,,,,-|-|ger|Arbeit,
SENSE_ENG,1019420,"part-time job
side job",,,,,,,,
SENSE_POL,1019420,"praca dorywcza
praca na pół etatu
praca w niepełnym wymiarze godzin
dodatkowa praca",,,,,,,,
SENSE_COMMON,1019420,,,noun (common) (futsuumeishi),,,,,,
SENSE_ENG,1019420,part-time worker,,,,,,,,
SENSE_POL,1019420,pracownik zatrudniony na niepełnym etacie,,,,,,,,
END,1019420,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BEGIN,2855080,,,,,,,,,
READING,2855080,KATAKANA,アルバイト,arubaito,-,,,,,
SENSE_COMMON,2855080,,,noun (common) (futsuumeishi),曹長石,,,,,
SENSE_ENG,2855080,albite,,,,,,,,
SENSE_POL,2855080,albit,ang: albite,,,,,,,
END,2855080,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BEGIN,1923050,,,,,,,,,
READING,1923050,KATAKANA,アルサロ,aru saro,-,,,,,
SENSE_COMMON,1923050,,,noun (common) (futsuumeishi),,,,abbreviation,,
SENSE_ENG,1923050,"""""""salon"""" where the hostesses are supposedly part-timers with other jobs""",from アルバイト and salon,,,,,,,
SENSE_POL,1923050,"salon piękności
salon fryzjerski",od アルバイト i salon,,,,,,,
END,1923050,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BEGIN,2827110,,,,,,,,,
READING,2827110,KATAKANA,ブラックバイト,burakkubaito,-,,,,,
SENSE_COMMON,2827110,,,noun (common) (futsuumeishi),サービス残業・サービスざんぎょう,,,abbreviation,,
